# l[4]( l_4(t) ) connection: point2-point5
n t l_4(t)
461 1.152500 0.999999185558
462 1.155000 0.999999194164
463 1.157500 0.999999209129
464 1.160000 0.999999230260
465 1.162500 0.999999257303
466 1.165000 0.999999289948
467 1.167500 0.999999327835
468 1.170000 0.999999370553
469 1.172500 0.999999417646
470 1.175000 0.999999468621
471 1.177500 0.999999522953
472 1.180000 0.999999580092
473 1.182500 0.999999639465
474 1.185000 0.999999700490
475 1.187500 0.999999762579
476 1.190000 0.999999825146
477 1.192500 0.999999887616
478 1.195000 0.999999949427
479 1.197500 1.000000010042
480 1.200000 1.000000068951
481 1.202500 1.000000125676
482 1.205000 1.000000179779
483 1.207500 1.000000230863
484 1.210000 1.000000278577
485 1.212500 1.000000322618
486 1.215000 1.000000362736
487 1.217500 1.000000398737
488 1.220000 1.000000430480
489 1.222500 1.000000457881
490 1.225000 1.000000480908
491 1.227500 1.000000499581
492 1.230000 1.000000513971
493 1.232500 1.000000524200
494 1.235000 1.000000530431
495 1.237500 1.000000532873
496 1.240000 1.000000531772
497 1.242500 1.000000527407
498 1.245000 1.000000520083
499 1.247500 1.000000510130
500 1.250000 1.000000497896
501 1.252500 1.000000483740
502 1.255000 1.000000468031
503 1.257500 1.000000451139
504 1.260000 1.000000433429
505 1.262500 1.000000415257
506 1.265000 1.000000396959
507 1.267500 1.000000378851
508 1.270000 1.000000361222
509 1.272500 1.000000344322
510 1.275000 1.000000328365
511 1.277500 1.000000313519
512 1.280000 1.000000299905
513 1.282500 1.000000287591
514 1.285000 1.000000276590
515 1.287500 1.000000266865
516 1.290000 1.000000258330
517 1.292500 1.000000250847
518 1.295000 1.000000244229
519 1.297500 1.000000238251
520 1.300000 1.000000232658
521 1.302500 1.000000227165
522 1.305000 1.000000221471
523 1.307500 1.000000215260
524 1.310000 1.000000208208
525 1.312500 1.000000199989
526 1.315000 1.000000190281
527 1.317500 1.000000178775
528 1.320000 1.000000165182
529 1.322500 1.000000149239
530 1.325000 1.000000130723
531 1.327500 1.000000109452
532 1.330000 1.000000085292
533 1.332500 1.000000058158
534 1.335000 1.000000028024
535 1.337500 0.999999994922
536 1.340000 0.999999958948
537 1.342500 0.999999920255
538 1.345000 0.999999879061
539 1.347500 0.999999835641
540 1.350000 0.999999790325
541 1.352500 0.999999743497
542 1.355000 0.999999695583
543 1.357500 0.999999647056
544 1.360000 0.999999598422
545 1.362500 0.999999550221
546 1.365000 0.999999503010
547 1.367500 0.999999457361
548 1.370000 0.999999413847
549 1.372500 0.999999373033
550 1.375000 0.999999335472
551 1.377500 0.999999301696
552 1.380000 0.999999272204
553 1.382500 0.999999247463
554 1.385000 0.999999227900
555 1.387500 0.999999213900
556 1.390000 0.999999205792
557 1.392500 0.999999203848
558 1.395000 0.999999208277
559 1.397500 0.999999219216
560 1.400000 0.999999236730
561 1.402500 0.999999260815
562 1.405000 0.999999291398
563 1.407500 0.999999328333
564 1.410000 0.999999371397
565 1.412500 0.999999420295
566 1.415000 0.999999474664
567 1.417500 0.999999534074
568 1.420000 0.999999598036
569 1.422500 0.999999666007
570 1.425000 0.999999737398
571 1.427500 0.999999811582
572 1.430000 0.999999887895
573 1.432500 0.999999965640
574 1.435000 1.000000044092
575 1.437500 1.000000122509
576 1.440000 1.000000200148
577 1.442500 1.000000276275
578 1.445000 1.000000350171
579 1.447500 1.000000421142
580 1.450000 1.000000488519
581 1.452500 1.000000551662
582 1.455000 1.000000609979
583 1.457500 1.000000662926
584 1.460000 1.000000710024
585 1.462500 1.000000750853
586 1.465000 1.000000785062
587 1.467500 1.000000812369
588 1.470000 1.000000832555
589 1.472500 1.000000845470
590 1.475000 1.000000851038
591 1.477500 1.000000849261
592 1.480000 1.000000840227
593 1.482500 1.000000824101
594 1.485000 1.000000801122
595 1.487500 1.000000771604
596 1.490000 1.000000735927
597 1.492500 1.000000694535
598 1.495000 1.000000647931
599 1.497500 1.000000596670
600 1.500000 1.000000541356
601 1.502500 1.000000482639
602 1.505000 1.000000421197
603 1.507500 1.000000357731
604 1.510000 1.000000292958
605 1.512500 1.000000227606
606 1.515000 1.000000162402
607 1.517500 1.000000098065
608 1.520000 1.000000035293
609 1.522500 0.999999974760
610 1.525000 0.999999917100
611 1.527500 0.999999862906
612 1.530000 0.999999812713
613 1.532500 0.999999766996
614 1.535000 0.999999726166
615 1.537500 0.999999690560
616 1.540000 0.999999660445
617 1.542500 0.999999636014
618 1.545000 0.999999617393
619 1.547500 0.999999604634
620 1.550000 0.999999597722
621 1.552500 0.999999596572
622 1.555000 0.999999601044
623 1.557500 0.999999610932
624 1.560000 0.999999625972
625 1.562500 0.999999645848
626 1.565000 0.999999670197
627 1.567500 0.999999698614
628 1.570000 0.999999730668
629 1.572500 0.999999765897
630 1.575000 0.999999803807
631 1.577500 0.999999843872
632 1.580000 0.999999885553
633 1.582500 0.999999928303
