x[3] y[3]
0.768434 0.768434
0.763070 0.763070
0.757492 0.757492
0.751703 0.751703
0.745700 0.745700
0.739485 0.739485
0.733059 0.733059
0.726421 0.726421
0.719571 0.719571
0.712512 0.712512
0.705242 0.705242
0.697763 0.697763
0.690075 0.690075
0.682180 0.682180
0.674078 0.674078
0.665769 0.665769
0.657256 0.657256
0.648539 0.648539
0.639619 0.639619
0.630498 0.630498
0.621176 0.621176
0.611655 0.611655
0.601937 0.601937
0.592022 0.592022
0.581913 0.581913
0.571611 0.571611
0.561117 0.561117
0.550434 0.550434
0.539562 0.539562
0.528505 0.528505
0.517263 0.517263
0.505839 0.505839
0.494235 0.494235
0.482452 0.482452
0.470494 0.470494
0.458361 0.458361
0.446057 0.446057
0.433584 0.433584
0.420944 0.420944
0.408139 0.408139
0.395173 0.395173
0.382046 0.382046
0.368763 0.368763
0.355326 0.355326
0.341737 0.341737
0.328000 0.328000
0.314116 0.314116
0.300089 0.300089
0.285922 0.285922
0.271618 0.271618
0.257180 0.257180
0.242610 0.242610
0.227912 0.227912
0.213089 0.213089
0.198145 0.198145
0.183082 0.183082
0.167903 0.167903
0.152613 0.152613
0.137214 0.137214
0.121710 0.121710
0.106104 0.106104
0.090400 0.090400
0.074601 0.074601
0.058711 0.058711
0.042733 0.042733
0.026671 0.026671
0.010529 0.010529
-0.005689 -0.005689
-0.021981 -0.021981
-0.038342 -0.038342
-0.054768 -0.054768
-0.071256 -0.071256
-0.087802 -0.087802
-0.104402 -0.104402
-0.121051 -0.121051
-0.137747 -0.137747
-0.154485 -0.154485
-0.171261 -0.171261
-0.188071 -0.188071
-0.204912 -0.204912
-0.221779 -0.221779
-0.238668 -0.238668
-0.255575 -0.255575
-0.272496 -0.272496
-0.289428 -0.289428
-0.306365 -0.306365
-0.323304 -0.323304
-0.340240 -0.340240
-0.357170 -0.357170
-0.374090 -0.374090
-0.390995 -0.390995
-0.407880 -0.407880
-0.424743 -0.424743
-0.441578 -0.441578
-0.458382 -0.458382
-0.475150 -0.475150
-0.491879 -0.491879
-0.508563 -0.508563
-0.525198 -0.525198
-0.541782 -0.541782
-0.558308 -0.558308
-0.574773 -0.574773
-0.591173 -0.591173
-0.607503 -0.607503
-0.623760 -0.623760
-0.639938 -0.639938
-0.656035 -0.656035
-0.672044 -0.672044
-0.687962 -0.687962
-0.703786 -0.703786
-0.719509 -0.719509
-0.735129 -0.735129
-0.750641 -0.750641
-0.766040 -0.766040
-0.781322 -0.781322
-0.796482 -0.796482
-0.811517 -0.811517
-0.826422 -0.826422
-0.841192 -0.841192
-0.855823 -0.855823
-0.870310 -0.870310
-0.884649 -0.884649
-0.898834 -0.898834
-0.912863 -0.912863
-0.926729 -0.926729
-0.940429 -0.940429
-0.953956 -0.953956
-0.967308 -0.967308
-0.980478 -0.980478
-0.993463 -0.993463
-1.006257 -1.006257
-1.018856 -1.018856
-1.031255 -1.031255
-1.043450 -1.043450
-1.055437 -1.055437
-1.067211 -1.067211
-1.078769 -1.078769
-1.090109 -1.090109
-1.101229 -1.101229
-1.112127 -1.112127
-1.122803 -1.122803
-1.133259 -1.133259
-1.143497 -1.143497
-1.153522 -1.153522
-1.163340 -1.163340
-1.172959 -1.172959
-1.182388 -1.182388
-1.191638 -1.191638
-1.200720 -1.200720
-1.209646 -1.209646
-1.218429 -1.218429
-1.227080 -1.227080
-1.235612 -1.235612
-1.244036 -1.244036
-1.252364 -1.252364
-1.260606 -1.260606
-1.268771 -1.268771
-1.276868 -1.276868
-1.284906 -1.284906
-1.292893 -1.292893
-1.300834 -1.300834
-1.308738 -1.308738
